Ref,Val,Package,PosX,PosY,Rot,Side
"C1","2.2uF","C_0805_2012Metric",-25.4500,-67.7025,180.0000,top
"C2","0.1uF","C_0402_1005Metric",-19.0000,-56.0000,-90.0000,top
"C3","10uF","C_1206_3216Metric",-22.5000,-59.0000,90.0000,top
"C4","10uF","C_1206_3216Metric",-25.0000,-59.0000,90.0000,top
"C5","47nF","C_0402_1005Metric",-19.0000,-58.0000,-90.0000,top
"C6","4.7uF","C_0603_1608Metric",-19.0000,-61.0000,90.0000,top
"C7","47nF","C_0402_1005Metric",-11.5000,-58.5000,180.0000,top
"C8","1nF","C_0402_1005Metric",-11.5000,-55.5000,0.0000,top
"C9","0.1uF","C_0402_1005Metric",-16.5000,-54.5000,180.0000,top
"C10","0.1uF","C_0402_1005Metric",-14.5000,-54.5000,0.0000,top
"C11","10uF","C_1206_3216Metric",-7.2500,-57.5000,90.0000,top
"C12","10uF","C_1206_3216Metric",-20.0000,-52.5000,-90.0000,top
"C13","10uF","C_1206_3216Metric",-11.0000,-52.5000,-90.0000,top
"C14","10uF","C_1206_3216Metric",-4.7500,-57.5000,90.0000,top
"C15","10uF","C_1206_3216Metric",-22.5000,-52.5000,-90.0000,top
"C16","10uF","C_1206_3216Metric",-8.5000,-52.5000,-90.0000,top
"C17","10uF","C_1206_3216Metric",-25.0000,-52.5000,-90.0000,top
"C18","10uF","C_1206_3216Metric",-6.0000,-52.5000,-90.0000,top
"C19","0.1uF","C_0603_1608Metric",-11.0150,-71.2950,180.0000,top
"C20","0.1uF","C_0603_1608Metric",-11.0150,-64.7950,180.0000,top
"C21","4.7uF","C_0603_1608Metric",-19.5000,-64.5000,180.0000,top
"C22","0.1uF","C_0603_1608Metric",-19.5000,-66.0000,180.0000,top
"C23","0.1uF","C_0603_1608Metric",14.0000,-68.5000,-90.0000,top
"C24","0.1uF","C_0603_1608Metric",14.0000,-65.5000,-90.0000,top
"C25","0.1uF","C_0603_1608Metric",14.0000,-62.5000,-90.0000,top
"C26","0.1uF","C_0603_1608Metric",14.0000,-59.5000,-90.0000,top
"C27","0.1uF","C_0603_1608Metric",14.0000,-56.5000,-90.0000,top
"C28","0.1uF","C_0603_1608Metric",14.0000,-53.5000,-90.0000,top
"C29","1uF","C_0603_1608Metric",8.5000,-64.0000,0.0000,top
"C30","1uF","C_0603_1608Metric",4.5000,-64.0000,0.0000,top
"C31","0.1uF","C_0603_1608Metric",14.0000,-51.0000,0.0000,top
"C32","0.1uF","C_0603_1608Metric",12.5000,-49.0000,180.0000,top
"C33","0.1uF","C_0603_1608Metric",15.5000,-49.0000,0.0000,top
"D1","LED","LED_0603_1608Metric",-28.5000,-56.0000,180.0000,top
"D2","Schottky_30V_1A","DIO_RB02_ROM",7.5000,-51.0000,-90.0000,top
"J1","Conn_01x02_Pin","PinHeader_1x02_P2.54mm_Vertical",-19.7900,-75.0000,90.0000,top
"J2","LDO_EN","PinHeader_1x02_P2.54mm_Vertical",-7.0000,-66.4750,0.0000,top
"J3","Conn_01x05_Pin","PinHeader_1x05_P2.54mm_Vertical",11.0800,-75.0000,-90.0000,top
"J4","JST_VH_B2P_3.96mm","JST_VH_B2P-VH_1x02_P3.96mm_Vertical",-31.2575,-73.9500,0.0000,top
"J5","JST_VH_B2P_3.96mm","JST_VH_B2P-VH_1x02_P3.96mm_Vertical",-2.7425,-45.3000,180.0000,top
"J7","Thermistor_1","PinHeader_1x02_P2.54mm_Vertical",-12.7750,-75.0000,90.0000,top
"J8","Thermistor_2","PinHeader_1x02_P2.54mm_Vertical",-5.7750,-75.0000,90.0000,top
"L1","1uH","L_Bourns_SRP7028A_7.3x6.6mm",-15.5000,-46.0000,0.0000,top
"Q1","AO3400A","SOT-23",8.3600,-46.0000,180.0000,top
"Q2","AO3400A","SOT-23",4.3600,-46.0000,0.0000,top
"R1","2R-1W","R_2010_5025Metric",-25.4500,-64.7025,0.0000,top
"R2","4.7kR","R_0402_1005Metric",-28.5000,-54.5000,180.0000,top
"R3","5.24kR","R_0402_1005Metric",-13.5000,-62.2500,0.0000,top
"R4","30.31kR","R_0402_1005Metric",-15.5000,-62.2500,0.0000,top
"R5","6.04kR","R_0402_1005Metric",-11.5000,-57.5000,0.0000,top
"R6","100R","R_0402_1005Metric",-11.5000,-59.5000,0.0000,top
"R7","127kR","R_0402_1005Metric",-11.5000,-61.5000,0.0000,top
"R8","100kR","R_0402_1005Metric",-11.5000,-60.5000,180.0000,top
"R9","4.7kR","R_0402_1005Metric",-17.0000,-66.0000,180.0000,top
"R10","4.7kR","R_0402_1005Metric",-15.5000,-68.5000,-90.0000,top
"R11","4.7kR","R_0402_1005Metric",-15.5000,-70.5000,90.0000,top
"R12","4.7kR","R_0402_1005Metric",-20.5000,-69.5000,90.0000,top
"R13","1kR","R_0402_1005Metric",15.5000,-68.5000,-90.0000,top
"R14","1kR","R_0402_1005Metric",15.5000,-65.5000,-90.0000,top
"R15","1kR","R_0402_1005Metric",15.5000,-62.5000,-90.0000,top
"R16","1kR","R_0402_1005Metric",15.5000,-59.5000,-90.0000,top
"R17","1kR","R_0402_1005Metric",15.5000,-56.5000,-90.0000,top
"R18","1kR","R_0402_1005Metric",15.5000,-53.5000,90.0000,top
"R19","1kR","R_0402_1005Metric",14.5000,-71.0000,180.0000,top
"R20","100R","R_0402_1005Metric",15.0000,-47.0000,-90.0000,top
"R21","10mR","R_0805_2012Metric",14.0000,-45.0000,180.0000,top
"R22","100R","R_0402_1005Metric",13.0000,-47.0000,-90.0000,top
"R23","4.7kR","R_0402_1005Metric",9.5000,-51.5000,-90.0000,top
"R24","1MegR","R_0402_1005Metric",11.0000,-46.0000,-90.0000,top
"R25","1MegR","R_0402_1005Metric",5.5000,-50.2600,-90.0000,top
"R26","3.3MegR","R_0402_1005Metric",1.5000,-46.0000,90.0000,top
"R27","10kR","R_0402_1005Metric",1.0000,-61.0000,90.0000,top
"R28","100kR","R_0402_1005Metric",1.0000,-57.0000,-90.0000,top
"R29","450kR","R_0402_1005Metric",1.0000,-55.0000,-90.0000,top
"R30","10kR","R_0402_1005Metric",1.0000,-59.0000,-90.0000,top
"TP1","QON","PinHeader_1x01_P2.54mm_Vertical",-31.0000,-61.5000,0.0000,top
"U1","BQ25672RQMR","RQM0029A-MFG",-15.5000,-58.1000,0.0000,top
"U2","TLV73333PDBV","SOT-23-5",-11.0000,-68.0000,90.0000,top
"U3","MSPM0C1104SDSGR","TSOT-23-8-shrink",-18.0000,-69.5000,-90.0000,top
"U4","BQ7791500PWR","PW24_TEX",6.5000,-58.5000,180.0000,top
"U5","CSD25402Q3A","VSON-8_3.3x3.3mm_P0.65mm_NexFET",2.5000,-51.0000,-90.0000,top
